date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:50:38	144/144	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20Apr%202023%2006:50:38%20GMT	https://www.latitudhoteles.com/robots.txt		(from )
03:50:39	328006/328006	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20Apr%202023%2006:50:38%20GMT	https://www.latitudhoteles.com/pt/reservas/	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/pt/reservas/index.html	(from )
03:50:40	3739/3739	---M--	200	added ('OK')	image/png	etag:%22ff4c7d36b785e55671cb6f0445c962d1%22	http://www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/_logo-img_hotel-latitud-hoteles-brazil.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/_logo-img_hotel-latitud-hoteles-brazil.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:50:40	837/837	---M--	200	added ('OK')	image/png	etag:%22bccdf694ab60b1fc782b3004f36c6474%22	http://www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/favicon.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/favicon.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:50:41	4526/4526	---M--	200	added ('OK')	image/png	etag:%227879c0f9174d15f257f61235aaf64e06%22	http://www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/_hotel-latitud-hoteles-brazil.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/_hotel-latitud-hoteles-brazil.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:50:43	331364/331364	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2006:50:41%20GMT	https://www.latitudhoteles.com/pt/reservas/images/ui-icons_444444_256x240.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/pt/reservas/images/ui-icons_444444_256x240.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:50:47	331364/331364	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2006:50:44%20GMT	https://www.latitudhoteles.com/pt/reservas/images/ui-icons_555555_256x240.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/pt/reservas/images/ui-icons_555555_256x240.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:50:50	331364/331364	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2006:50:47%20GMT	https://www.latitudhoteles.com/pt/reservas/images/ui-icons_ffffff_256x240.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/pt/reservas/images/ui-icons_ffffff_256x240.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:50:53	331364/331364	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2006:50:50%20GMT	https://www.latitudhoteles.com/pt/reservas/images/ui-icons_777620_256x240.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/pt/reservas/images/ui-icons_777620_256x240.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:50:56	331364/331364	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2006:50:54%20GMT	https://www.latitudhoteles.com/pt/reservas/images/ui-icons_cc0000_256x240.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/pt/reservas/images/ui-icons_cc0000_256x240.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:50:59	331364/331364	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202023%2006:50:57%20GMT	https://www.latitudhoteles.com/pt/reservas/images/ui-icons_777777_256x240.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/pt/reservas/images/ui-icons_777777_256x240.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:51:00	43856/43856	---M--	200	added ('OK')	image/jpeg	etag:%224eb4c525a45c720186660d4882df95fe%22	https://www.latitudhoteles.com/files/img/mondrian/textures-bw-05.jpg	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files/img/mondrian/textures-bw-05.jpg	(from https://www.latitudhoteles.com/pt/reservas/)
03:51:00	548/548	---M--	200	added ('OK')	image/png	etag:%221e663991dc933ad68da2696a6def5c79%22	https://www.latitudhoteles.com/files/img/mondrian/sprite-icons.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files/img/mondrian/sprite-icons.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:51:00	44100/44100	---M--	200	added ('OK')	image/png	etag:%227c25a3a326fac741389aeedf2fa03561%22	https://www.latitudhoteles.com/files/img/mondrian/sprite-flags.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files/img/mondrian/sprite-flags.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:51:00	547/547	---M--	200	added ('OK')	image/png	etag:%22e3f799c6dec9af194c86decdf7392405%22	https://www.latitudhoteles.com/files/img/mondrian/photoswipe/default-skin/default-skin.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files/img/mondrian/photoswipe/default-skin/default-skin.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:51:00	866/866	---M--	200	added ('OK')	image/gif	etag:%22e34aafbb485a96eaf2a789b2bf3af6fe%22	https://www.latitudhoteles.com/files/img/mondrian/photoswipe/default-skin/preloader.gif	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files/img/mondrian/photoswipe/default-skin/preloader.gif	(from https://www.latitudhoteles.com/pt/reservas/)
03:51:02	2786/2786	---MCZ	200	added ('OK')	application/javascript	etag:%22ae2-8rpTcgaqoTbErz5GHRy+ie0hrJQ%22	https://unpkg.com/ba-js-rt@2.0.4/lib/rt.js	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/unpkg.com/ba-js-rt@2.0.4/lib/rt.js	(from https://www.latitudhoteles.com/pt/reservas/)
03:51:03	1036/1036	---MCZ	200	added ('OK')	application/javascript	etag:%2240c-8DV8knigKMEEBREmxpBn8XinEuw%22	https://unpkg.com/ba-js-ga-adapter@0.0.9/dist/ba-js-ga-adapter.umd.js	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/unpkg.com/ba-js-ga-adapter@0.0.9/dist/ba-js-ga-adapter.umd.js	(from https://www.latitudhoteles.com/pt/reservas/)
03:51:03	5649/5649	---M--	200	added ('OK')	image/png	etag:%22538ace0aa54e0c20a17457e156f6f60d%22	http://www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/_logo-xs_hotel-latitud-hoteles-brazil.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/_logo-xs_hotel-latitud-hoteles-brazil.png	(from https://www.latitudhoteles.com/pt/reservas/)
03:51:04	9166/9166	---M--	200	added ('OK')	image/png	etag:%220df7bf8e64f9eca28cc281ac6f7eccf6%22	http://www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/_logo-sm_hotel-latitud-hoteles-brazil.png	C:/Users/Overbooking%20Tech/Desktop/Nova%20pasta%20(3)/motor/www.latitudhoteles.com/files-sbbasic/ba_latitudes_br/logo/_logo-sm_hotel-latitud-hoteles-brazil.png	(from https://www.latitudhoteles.com/pt/reservas/)
